stock,date,fresh
SBICARD.NS,2023-04-21 11:15:00+05:30,Y
DABUR.NS,2023-04-25 10:15:00+05:30,Y
AXISBANK.NS,2023-04-24 12:15:00+05:30,Y
BAJAJFINSV.NS,2023-03-29 13:15:00+05:30,Y
PNB.NS,2023-04-13 14:15:00+05:30,Y
PNB.NS,2023-04-24 09:15:00+05:30,Y
KOTAKBANK.NS,2023-04-13 13:15:00+05:30,Y
HINDALCO.NS,2023-03-29 13:15:00+05:30,Y
HINDALCO.NS,2023-04-13 13:15:00+05:30,Y
ICICIBANK.NS,2023-03-31 09:15:00+05:30,Y
SBIN.NS,2023-03-29 13:15:00+05:30,Y
TATAMOTORS.NS,2023-03-29 09:15:00+05:30,Y
TATAMOTORS.NS,2023-04-03 14:15:00+05:30,Y
TATAMOTORS.NS,2023-04-12 10:15:00+05:30,Y
HDFC.NS,2023-04-05 09:15:00+05:30,Y
ITC.NS,2023-04-21 10:15:00+05:30,Y
HDFCAMC.NS,2023-03-31 12:15:00+05:30,Y
RELIANCE.NS,2023-03-31 09:15:00+05:30,Y
RELIANCE.NS,2023-04-06 09:15:00+05:30,Y
BIOCON.NS,2023-04-05 11:15:00+05:30,Y
BIOCON.NS,2023-04-25 12:15:00+05:30,Y
CHOLAFIN.NS,2023-03-28 09:15:00+05:30,Y
ADANIGREEN.NS,2023-03-01 09:15:00+05:30,Y
TATASTEEL.NS,2023-03-29 13:15:00+05:30,Y
TATASTEEL.NS,2023-04-05 10:15:00+05:30,Y
ZYDUSLIFE.NS,2023-04-11 13:15:00+05:30,Y
M&M.NS,2023-03-29 09:15:00+05:30,Y
GAIL.NS,2023-04-10 09:15:00+05:30,Y
BHARTIARTL.NS,2023-04-25 11:15:00+05:30,Y
MCDOWELL-N.NS,2023-04-12 11:15:00+05:30,Y
TORNTPHARM.NS,2023-04-12 11:15:00+05:30,Y
GODREJCP.NS,2023-03-16 10:15:00+05:30,Y
BAJAJHLDNG.NS,2023-04-24 09:15:00+05:30,Y
